
Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Tėvynės sąjunga - Lietuvos krikščionys demokratai

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Partija Tvarka ir teisingumas

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	REMIGIJUS ŽEMAITAITIS	1	
2	PETRAS GRAŽULIS	4	
3	KĘSTUTIS PŪKAS	10	
4	KĘSTAS KOMSKIS	2	
5	RIMAS ANDRIKIS	3	
6	JUOZAS IMBRASAS	7	
7	VYTAUTAS KAMBLEVIČIUS	5	
8	ONA VALIUKEVIČIŪTĖ	8	
9	ANDRIUS ŠEDŽIUS	17	
10	KĘSTUTIS TREČIOKAS	14	
11	JULIUS PANKA	21	
12	RIMAS ANTANAS RUČYS	6	
13	AUDRONĖ GALVONAITĖ	16	
14	ALGIMANTAS DUMBRAVA	13	
15	KĘSTUTIS BARTKEVIČIUS	9	
16	VYTAUTAS JUCIUS	26	
17	NATALJA ISTOMINA	18	
18	ARTŪRAS RAZBADAUSKAS	11	
19	AUŠRA RUČIENĖ	25	
20	ALMANTAS PETKUS	12	
21	EGIDIJUS SKARBALIUS	27	
22	TADAS BARTKUS	81	
23	ROMUALDAS VISOKAVIČIUS	15	
24	VAIDAS BENDARAVIČIUS	50	
25	KĘSTUTIS KOMSKIS	40	
26	LORETA JAKINEVIČIENĖ	20	
27	ALGIRDAS MEIŽENIS	45	
28	SVETLANA BABUJEVA	42	
29	EGIDIJUS VILIMAS	140	
30	SIGITAS STONYS	70	
31	VIDMANTAS KARABINAS	19	
32	LINA ŠUKYTĖ	38	
33	NINA ŠESTERNIKOVA	35	
34	MARTYNAS GEDVILAS	48	
35	DOBILAS SINKEVIČIUS	24	
36	ALBINAS ŽYMANČIUS	39	
37	ALGIRDAS GENEVIČIUS	30	
38	AGNĖ PETRAVIČIENĖ	80	
39	GEDIMINAS IMBRASAS	56	
40	SILVERIJUS STATKUS	37	
41	EDITA RUDIENĖ	46	
42	VIDMANTAS MACEVIČIUS	23	
43	ALVYDAS MOCKUS	139	
44	RYŠARDAS BURDA	33	
45	RAIMUNDAS MARTINĖLIS	31	
46	GINTARAS ŠURKUS	36	
47	GEDIMINAS ONAITIS	28	
48	JULIUS MORKŪNAS	29	
49	MIGLĖ ŽUKAUSKAITĖ	138	
50	OSVALDAS KATINAS	44	
51	VALERIJONAS BERNOTAS	49	
52	SAULIUS ARLAUSKAS	32	
53	ROMUALDAS GĖGŽNAS	22	
54	KĘSTUTIS PETKUS	130	
55	AUDRONĖ BERESNEVIČIENĖ	52	
56	DALIA SKEBERDIENĖ	83	
57	DARIUS RADVILA	137	
58	STASYS VAINAUSKAS	47	
59	GEDIMINAS RUDŽIONIS	34	
60	DANIUS KANAUKA	100	
61	DONATAS MIZARAS	41	
62	DAIVA URBONAVIČIŪTĖ	61	
63	EDGARAS BERNOTAS	51	
64	SIGITAS ČINGA	43	
65	JURGITA SADAUSKAITĖ	77	
66	ANDRIUS JURKUS	102	
67	GINTARAS ALGIRDAS KALĖDA	121	
68	ILONA GYLYTĖ	91	
69	ALGIRDAS GUDAITIS	84	
70	ALGIMANTAS ADOMAITIS	88	
71	RAIMONDA KAROSAITĖ	55	
72	JŪRATĖ ŠIVICKIENĖ	53	
73	JULIJA MELNIKOVA	105	
74	ROMUALDAS DUMČIUS	74	
75	DAIVA JUKNEVIČIENĖ	63	
76	RENAT BRALKOVSKIJ	78	
77	RYTIS JANKAUSKAS	60	
78	LAIMONAS NORVILIS	131	
79	KAZIMIERAS DURA	67	
80	VINCAS METRIKIS	54	
81	IGNAS JONUŠAS	87	
82	LORENA BALSĖ	101	
83	REGINA ČISTIAKOVA	99	
84	FRANC JAKUBOVSKIJ	71	
85	JONAS ŽIČKUS	134	
86	SIGITAS SIDARAVIČIUS	75	
87	JURGITA ŠERŽENTIENĖ	85	
88	GIEDRIUS ZDANYS	64	
89	LORETA MACIONIENĖ	58	
90	AUDRONĖ VIRGANAVIČIŪTĖ	73	
91	ALGIS KALEINIKAS	86	
92	MARIUS JUŠKEVIČIUS	68	
93	ARTŪRAS GALAKVOŠČIUS	72	
94	IRENA GAILIUTĖ	106	
95	GEDIMINAS KRIOVĖ	135	
96	KRISTINA SMIRNOVAITĖ	96	
97	RAIMONDAS BITINAS	114	
98	RIMVYDAS ANUSAUSKAS	119	
99	RIMA PETRUŠKIENĖ	118	
100	JUOZAS ROKAS	109	
101	PETRAS BERESNEVIČIUS	93	
102	BENEDIKTAS PAULAUSKAS	97	
103	ASTA LAŠINSKIENĖ	59	
104	STANISLOVAS VĖLAVIČIUS	111	
105	KĘSTUTIS URBANAVIČIUS	122	
106	VALDAS RAČKAUSKAS	123	
107	TOMAS VALAŠINAS	57	
108	ONA PETRONIENĖ	110	
109	VYTAUTAS ŽAGŪNIS	65	
110	NATALIJA BABELČIUS	98	
111	AURIMAS PILECKAS	89	
112	HENRIKAS MACKELA	62	
113	KĘSTAS VITKAUSKAS	132	
114	TADAS GRUNDULAS	82	
115	JUOZAS JOKIMAS	90	
116	VINCAS JONAS KARČIAUSKAS	95	
117	IRENA LEONAVIČIENĖ	128	
118	VIRGINIJA TUMĖNIENĖ	107	
119	REDA KONTARIENĖ	133	
120	MINDAUGAS REKEŠIUS	136	
121	ALEKSANDRAS FILIPAVIČIUS	113	
122	KĘSTUTIS VILNIŠKIS	69	
123	MARYTĖ ŽUKIENĖ	108	
124	EGIDIJUS MICKEVIČIUS	112	
125	VYTAUTAS ŠKADAUSKAS	116	
126	VIDA NARBUTIENĖ	104	
127	RIMANTAS KEKYS	125	
128	KĘSTUTIS JASEVIČIUS	127	
129	GINTA BALTAG	92	
130	MANTAS BADAUKIS	129	
131	ARVYDAS AŽELIS	103	
132	IGNAS NASTARAVIČIUS	120	
133	ALGIRDAS CEGELIS	76	
134	MODESTAS STRAMKAUSKAS	117	
135	GEDIMINAS BERŪKŠTIS	124	
136	VLADAS VAŽNEVIČIUS	126	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Darbo partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ARTŪRAS PAULAUSKAS	2	4
2	KĘSTUTIS DAUKŠYS	1	4
3	VYTAUTAS GAPŠYS	3	2
4	VYDAS GEDVILAS	8	1
5	VIRGINIJA BALTRAITIENĖ	4	3
6	LORETA GRAUŽINIENĖ	7	
7	JONAS PINSKUS	14	1
8	IEVA KAČINSKAITĖ-URBONIENĖ	5	4
9	GEDIMINAS VAGNORIUS	9	1
10	DANGUTĖ MIKUTIENĖ	15	
11	GIEDRIUS MOZŪRAITIS	10	
12	DARIUS ULICKAS	12	2
13	VIKTORAS FIODOROVAS	13	3
14	VALENTINAS BUKAUSKAS	6	
15	ALGIMANTA PABEDINSKIENĖ	23	
16	JANINA GREICIŪNAITĖ	141	
17	VALDAS SKARBALIUS	11	
18	SERGEJ DMITRIJEV	17	
19	ROMAS ZIBALAS	140	
20	LARISA DMITRIJEVA	34	
21	VIDMANTAS ŽIEMELIS	19	
22	SERGEJ URSUL	25	
23	PETRAS ČIMBARAS	22	
24	VILIJA FILIPOVIČIENĖ	18	
25	ŠARŪNAS BIRUTIS	100	
26	RAIMUNDAS MARKAUSKAS	16	
27	PAULIUS KALINA	20	
28	RITAS VAIGINAS	35	
29	MEČISLOVAS ZASČIURINSKAS	33	
30	GEDIMINAS JAKAVONIS	32	
31	DANGUOLĖ MARTINKIENĖ	39	
32	AUDRONĖ PITRĖNIENĖ	24	
33	VIDMANTAS MAŽELIS	42	
34	KRISTYNA BORTKO	41	
35	OLGA GORŠKOVA	101	
36	ARTŪRAS MILAŠAUSKAS	88	
37	RASA ŠEBELSKIENĖ	89	
38	RAIMUNDAS PALIUKAS	29	
39	DARIUS VARNAS	91	
40	GINTARAS TAMOŠIŪNAS	31	
41	EDGARAS MOCKUS	50	
42	RIČARDAS SARGŪNAS	21	
43	ALICIJA ŠČERBAITĖ	43	
44	AUŠRA DEGUTYTĖ	46	
45	ALBERT GAIDAMOVIČ	44	
46	ZITA ŽVIKIENĖ	27	
47	PETRAS NARKEVIČIUS	26	
48	OLGA PODOLSKIENĖ	54	
49	SAULIUS JAKIMAVIČIUS	37	
50	RENALDAS MAZIUKAS	49	
51	ALINA BATULEVIČIENĖ	30	
52	ERNESTAS VAIČIKAUSKAS	40	
53	SAULIUS LAPĖNAS	65	
54	ANTANAS MAKAREVIČIUS	36	
55	KĘSTUTIS MAČIULIS	55	
56	ARVYDAS JUCIUS	28	
57	EDVINAS KRIŠČIŪNAS	119	
58	ASTA GRINIUTĖ	84	
59	VAIDA KRASAUSKIENĖ	80	
60	VYTAUTAS ROČYS	52	
61	MARIJUS VELIČKA	66	
62	POVILAS ŠEŠTOKAS	77	
63	ERNESTA RANUSIENĖ	58	
64	ANGELĖ KAVALIAUSKIENĖ	62	
65	ALEKSANDR DAGIL	111	
66	ALGIS ŽVALIAUSKAS	38	
67	SAULIUS GIRDAUSKAS	59	
68	ANŽELIKA BANEVIČIENĖ	139	
69	ANTANAS DAMULIS	48	
70	MARTYNAS SURVILAS	90	
71	SERGEJ POPOV	118	
72	VYTAUTAS MIKELIONIS	85	
73	INGRIDA VENCIUVIENĖ	47	
74	RIMANTAS TROTA	51	
75	DOVILĖ AURYLAITĖ	96	
76	GELENA DRUNGILIENĖ	92	
77	VYTAUTAS LIEPA	53	
78	VILMA SAVICKIENĖ	87	
79	VALENTINAS VARNAS	94	
80	EDMUNDAS ŽALYS	70	
81	GENOVEITA KRASAUSKIENĖ	61	
82	RAIMONDAS AMŠIEJUS	86	
83	GINTARAS STEPONĖNAS	60	
84	ALFONSAS PETRAUSKAS	56	
85	ANTANAS BURINSKAS	82	
86	DAINIUS PAULAUSKAS	93	
87	EGIDIJUS RAUDYS	136	
88	RIMVYDAS UŽEMECKAS	75	
89	TOMAS BURKAUSKAS	76	
90	LAIMUTĖ KAČERAUSKIENĖ	72	
91	ALVYDAS GUDUNAVIČIUS	112	
92	VAIDĖ SAKALAUSKIENĖ	109	
93	RAIMONDAS LIGNUGARIS	132	
94	LORETA KALTAUSKIENĖ	73	
95	PALMYRA VINKŠNAITĖ	68	
96	SIGYTAS KLIMAS	57	
97	MINDAUGAS JURČIUS	63	
98	VYTAUTAS MARTINAITIS	134	
99	JAROSLAV OLŠEVSKIJ	121	
100	ROKAS BALIUKOVAS	138	
101	MARTYNAS BANSEVIČIUS	110	
102	ROMAS JUREVIČIUS	108	
103	VAIDAS RATKEVIČIUS	97	
104	VAIDOTAS GLOBYS	67	
105	MINGAILĖ BINKAUSKAITĖ	81	
106	KĘSTUTIS ŠNIPAS	74	
107	ŽANETA SIMANAVIČIENĖ	103	
108	RAMŪNAS NAVICKAS	124	
109	LILIJA MIEŽINIENĖ	105	
110	EDMANTAS VAIŠVILA	114	
111	VYTAUTAS ČEPUKAS	71	
112	SIGITAS KURKLYS	98	
113	MARINA RUMIANCEVA	125	
114	METAS RAŽINSKAS	129	
115	RIMAS BERTAŠIUS	133	
116	MARIUS SENULIS	106	
117	VILIJA TOLIUŠIENĖ	130	
118	ALOYZAS IGNAŠIUS	78	
119	ALBERTAS REGALOVSKIS	122	
120	ARŪNAS KARLONAS	83	
121	DIANA BARANOVIENĖ	113	
122	EGIDIJUS LUNGIS	99	
123	ALGIRDAS URBELIS	116	
124	EUGENIJUS RINKEVIČIUS	107	
125	RITA RADIUN	117	
126	GINTARAS UBARTA	123	
127	JUOZAS BUČIUS	102	
128	KĘSTUTIS PALUJANSKAS	115	
129	ALBINAS PILIPAUSKAS	69	1
130	VACLOVAS JANUŠKEVIČIUS	135	
131	JŪRANA LIUTKIENĖ	131	
132	JOLANTA KETURKIENĖ	128	
133	ALFONSAS MORKVĖNAS	95	
134	GINTAUTAS MURINAS	104	
135	IGNAS NAUBURAITIS	120	
136	ANDRIUS KASINAVIČIUS	126	
137	EDMUNDAS KRASAUSKAS	127	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Lietuvos laisvės sąjunga (liberalai)

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ARTŪRAS ZUOKAS	1	5
2	AGNĖ ZUOKIENĖ	7	1
3	ALGIS ČAPLIKAS	3	
4	ŽILVINAS ŠILGALIS	4	1
5	ALDONA ŠVENTICKIENĖ	2	1
6	VYDŪNAS SADAUSKAS	5	4
7	PETRAS NAUSĖDA	15	2
8	VISVALDAS RAČKAUSKAS	6	1
9	ARTŪRAS ORLAUSKAS	13	
10	KĘSTUTIS BILIUS	8	1
11	RAIMONDAS ŠUKYS	25	
12	NIJOLĖ JAGELAVIČIENĖ	11	
13	ERIKAS TAMAŠAUSKAS	9	
14	JONAS JUODKA	20	1
15	VIOLETA GRIGIENĖ	10	2
16	REGIMANTAS ČIUPAILA	16	
17	MINDAUGAS TARNAUSKAS	12	2
18	DALIA ŠTRAUPAITĖ	19	
19	LAIMONAS JAKAS	14	
20	RUSLAN KOVALIOV	28	
21	MICHAIL OLISOV	55	
22	VYTAUTAS VAITKEVIČIUS	45	
23	KĘSTUTIS NĖNIUS	18	
24	ARVYDAS JAKAS	17	
25	ČESLOVAS JEZERSKAS	108	
26	GINTAUTAS BABRAVIČIUS	107	
27	DARIUS KUDIRKA	42	
28	DAIVA KELEČIENĖ	21	2
29	DAINIUS VARNAS	30	
30	VIDMANTAS ŠIMKUS	29	
31	ALGIMANTAS OLENDRA	43	
32	VYTAUTAS ŽALYS	36	2
33	LAURYNAS ŽEMAITIS	41	
34	GINTARAS ŠILEIKIS	106	
35	AUDRIUS ILGEVIČIUS	24	
36	ANDRIUS BŪDA	38	1
37	RITA GLIAUDELIENĖ	23	
38	JOLANTA PAUKŠTIENĖ	27	
39	DIJANA OLSSON	46	4
40	INDRĖ JAKAITYTĖ	77	
41	ROMAN LOGINOV	87	
42	ALGIS MARCINKEVIČIUS	31	
43	SERGEJUS PETUCHAS	56	
44	ZITA ŽEBRAUSKIENĖ	26	
45	BENAS RENATAS BALTUSIS	40	
46	VITALIJA ŠIMKIENĖ	37	1
47	ZYGMUNT KLONOVSKI	68	
48	STANISLAV OLŠEVSKI	70	
49	RŪTA SAUSIENĖ	33	
50	SKIRMANTĖ GRICIŪNIENĖ	22	1
51	VALDEMARAS JASEVIČIUS	54	
52	SANDRA VIČIENĖ	35	
53	GINTAUTAS MACEVIČIUS	60	
54	JUZEF RUTKOVSKI	69	
55	VALDEMARAS PUODŽIŪNAS	32	
56	KĘSTUTIS GALDIKAS	85	
57	REGIMANTAS BARAVYKAS	51	1
58	MIROSLAV SUCKEL	72	
59	JOLANTA LAVRYNOVIČ	102	
60	HALINA BORAVSKA	71	
61	DONATA GEGIECKAITĖ	105	
62	EIMANTAS KIRKLIAUSKAS	44	
63	RASA CIBULSKIENĖ	66	
64	PAULIUS ULECKAS	47	
65	MINDAUGAS GERYBA	84	1
66	INGRIDA MAŽONAVIČIŪTĖ	91	1
67	DARIUS SEMĖNAS	95	
68	GINTARAS GIRŠTAUTAS	90	
69	ALGIMANTAS ŠVENTICKAS	86	
70	GIEDRĖ ŽIČKĖ	89	
71	KĘSTUTIS PAKALNIS	58	
72	VYTAUTAS TARAILĖ	62	
73	DANUTĖ BUDREIKAITĖ	50	
74	RITA JUOZAPAITIENĖ	94	
75	JANĖ NARVILIENĖ	39	
76	GINTAUTAS STANKUS	100	
77	KRISTIJONAS VALIUS	104	
78	ANTANAS KALNAS	101	
79	DANGIS GUDELIS	79	
80	TOMAS KARČAUSKAS	49	
81	TOMAS RAŽANAUSKAS	57	
82	RIMANTAS MAKRICKAS	34	
83	VALDAS KLIMANTAVIČIUS	63	
84	VAIDAS RAMOŠKA	75	
85	INGA ŠLIKIENĖ	99	
86	GINTARAS SODEIKA	74	
87	RYTIS MIRONČIKAS	78	
88	STASĖ GOŠTAUTIENĖ	98	
89	SIGITAS ŠIUPŠINSKAS	52	
90	DALIA LAMĖNAITĖ	103	
91	BENJAMINAS RIMDŽIUS	76	
92	EDMUNDAS BERNOTAS	67	
93	RIMANTAS RADŽIUS	61	
94	VIDMANTAS VALINČIUS	53	
95	VINCAS LAURUTIS	65	
96	RASA JAŠKEVIČIENĖ	82	
97	ALMUTĖ JUZĖNIENĖ	96	
98	DIANA RAZMINIENĖ	59	
99	INGRIDA ŽURAUSKĖ	97	
100	REGINA LOPIENĖ	81	
101	AUGUSTAS VISMANTAS	92	
102	ALGIRDAS GANSINIAUSKAS	48	
103	ALGIRDAS KIZNIS	64	
104	VALDIMARAS GUZAITIS	73	
105	IRENA IGNATAVIČIENĖ	80	
106	DEIVYDAS RUBEŽIUS	83	
107	VYTAS JAKOBSEVIČIUS	88	
108	RIMANTAS DABULIS	93	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Lietuvos žaliųjų partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	LINAS BALSYS	1	3
2	SIGITAS MECELICA	2	1
3	MEČYS LAURINKUS	5	1
4	MARIJA TAMKEVIČIŪTĖ	4	1
5	LAURYNAS OKOCKIS	3	3
6	RENATAS MIŠKINIS	7	2
7	JOANA KORABLIOVIENĖ	6	1
8	JŪRATĖ MAŽEIKYTĖ	13	
9	JUSTAS INGELEVIČIUS	10	1
10	SAULIUS VYTAS PIKŠRYS	12	1
11	NIJOLĖ BRUSOKIENĖ	8	
12	MINDAUGAS ČIRBA	9	
13	REMIGIJUS LAPINSKAS	11	
14	INA BUDRIENĖ	14	
15	VILMA GAUBYTĖ	16	
16	SAULIUS LAPIENIS	15	1
17	AUSTĖJA JONAITYTĖ	28	
18	SMILTĖ DOVEIKIENĖ	36	
19	ALGIRDAS DIMŠA	34	
20	VALERIANAS KIJEVIČIUS	38	1
21	DONATAS RADVILAVIČIUS	37	
22	ARŪNAS MATULAITIS	33	
23	DANUTĖ JUŠKIENĖ	21	
24	BRONIUS VYGELIS	27	
25	KĘSTUTIS MIKULSKAS	17	
26	LAIMA ŠALKAUSKIENĖ	18	
27	ALGIRDAS ULČICKAS	20	
28	TOMAS KAŽEMĖKAS	19	
29	RAIMONDA JAKUTIENĖ	31	
30	AUŠRA JANULAITIENĖ	24	
31	KĘSTUTIS ULČICKAS	30	
32	JONAS PAIČIUS	22	
33	LYGAUDAS SINICA	32	
34	AUŠRA KLEBONIENĖ	26	
35	EDVARDAS DEIKA	23	
36	ALFONSAS BALZARIS	25	
37	PAULIUS ŠLIAVAS	29	
38	JEVGENIJA BABUSENKO	35	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Politinė partija „Lietuvos sąrašas“

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	AUŠRA MALDEIKIENĖ	2	2
2	DARIUS KUOLYS	1	1
3	GINTAUTAS TERLECKAS	4	2
4	KRISTINA PAULIKĖ	3	
5	MINDAUGAS ŠIMKŪNAS	5	
6	ANTANAS KULAKAUSKAS	11	1
7	JŪRATĖ ZABIELAITĖ	15	
8	LIUDAS BRADAUSKAS	7	
9	DAINORA EIGMINIENĖ	6	
10	EGIDIJUS VISOCKAS	8	
11	ASTA NIDA PODERIENĖ	9	
12	KĘSTUTIS MAZURKEVIČIUS	10	1
13	ŠARŪNAS BAGDONAS	14	
14	VILIJA MORKŪNAITĖ	13	
15	IRENA ZALESKIENĖ	12	
16	JOLANTA LIPKEVIČIENĖ	39	1
17	KĘSTUTIS SUBAČIUS	16	1
18	AUSTĖ NAKIENĖ	21	
19	JOANA NOREIKAITĖ	32	
20	RAMUNĖ JURKUVIENĖ	19	2
21	KĘSTUTIS MUSTEIKIS	20	
22	ASTA ANTANAVIČIUTĖ	23	
23	SAULĖ MATULEVIČIENĖ	17	
24	NARIMANTAS ŠEDYS	25	
25	ROBERTAS RAMANAUSKAS	26	
26	BIRUTĖ JAGMINIENĖ	29	
27	NERIJUS NAUJALIS	31	
28	INGRIDA JUCIENĖ	37	
29	NERINGA EIMUTIENĖ	36	
30	ARTŪRAS BUITKUS	34	
31	KASTYTIS NORMANTAS	33	
32	ROMA BIELIAJEVIENĖ	38	
33	LEONAS SAKALAVIČIUS	30	
34	DANGIRAS ŠEŠKEVIČIUS	35	
35	JONAS SAKALAVIČIUS	27	
36	JŪRATĖ BALTRŪNIENĖ	24	
37	RAIMONDA MARČIUKAITIENĖ	22	
38	LORENAS MAKARAVIČIUS	18	
39	JAROSLAV VABALIS	28	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Čikagoje (Nr.2102) rinkimų apylinkė

Lietuvos liaudies partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ROLANDAS PAULAUSKAS	1	10
2	AUDRIUS NAKAS	2	5
3	KAZIMIERAS JURAITIS	3	6
4	MARIUS JONAITIS	5	5
5	DANGUOLĖ TAUTVYDIENĖ	4	1
6	VYTAUTAS JUOZAPAITIS	10	1
7	EUGENIJUS PALIOKAS	8	6
8	ELONA ŠVIPIENĖ	11	3
9	STANISLAVA ŠUMILAITĖ	7	1
10	VITALIJUS BALKUS	9	1
11	LINA ČERNECKYTĖ	6	2
12	GINTARAS RADVILA	28	2
13	RIČARDAS VYSOCKIS	12	
14	EGIDIJUS BALTUŠIS	14	5
15	ARTAS BRASAS	26	1
